Designator,Mid X,Mid Y,Rotation,Layer
A1,234.605749,-102.451916,0.0,top
BT1,170.025,-89.0,0.0,top
C100,212.075,-143.05,0.0,top
C101,211.4,-139.4,0.0,top
C102,246.9,-177.375,90.0,top
C103,245.9,-177.375,90.0,top
C104,243.1,-177.4,90.0,top
C105,242.1,-177.4,90.0,top
C106,226.285,-177.305,270.0,top
C107,222.485,-177.31,270.0,top
C108,225.31,-177.305,270.0,top
C109,221.51,-177.305,270.0,top
C110,212.975,-151.0,0.0,top
C111,209.975,-150.675,270.0,top
C112,197.675,-142.3,90.0,top
C113,124.52,-137.905,0.0,top
C114,124.57,-134.08,0.0,top
C115,124.82,-156.9,0.0,top
C116,124.845,-153.1,0.0,top
C117,124.525,-136.905,0.0,top
C118,124.575,-133.08,0.0,top
C119,124.815,-155.9,0.0,top
C120,124.845,-152.075,0.0,top
C121,237.375,-85.27,90.0,top
C122,236.37,-85.27,90.0,top
C17,211.025,-77.73,90.0,top
C18,211.95,-77.73,90.0,top
C19,213.525,-77.73,90.0,top
C20,214.45,-77.73,90.0,top
C21,216.075,-77.725,90.0,top
C22,217.0,-77.725,90.0,top
C23,218.555621,-77.725,90.0,top
C24,219.475,-77.725,90.0,top
C25,225.53,-70.375,0.0,top
C26,264.25,-81.3625,90.0,top
C27,265.25,-81.3625,90.0,top
C28,246.288999,-81.38,90.0,top
C29,247.288999,-81.375,90.0,top
C31,271.5,-74.575,0.0,top
C32,253.513999,-74.525,0.0,top
C33,188.16615,-94.75,90.0,top
C34,191.842669,-87.470793,270.0,top
C35,188.56615,-85.37,270.0,top
C36,185.69115,-85.375,270.0,top
C37,183.25,-86.95,0.0,top
C38,183.12,-90.325,180.0,top
C39,185.19115,-94.775,270.0,top
C40,191.16615,-94.75,90.0,top
C41,190.31615,-85.375,270.0,top
C42,183.12,-89.35,180.0,top
C43,184.26615,-94.775,270.0,top
C44,190.16615,-94.75,90.0,top
C45,189.16615,-94.75,90.0,top
C46,193.462669,-86.700793,180.0,top
C47,193.447669,-91.975793,180.0,top
C48,192.925,-79.22,270.0,top
C49,150.15,-105.425,270.0,top
C50,149.175,-105.425,270.0,top
C51,139.275,-119.045,90.0,top
C52,140.275,-119.045,90.0,top
C53,155.425,-119.1,90.0,top
C54,156.425,-119.095,90.0,top
C55,172.45,-118.925,90.0,top
C56,173.45,-118.925,90.0,top
C57,185.025,-118.905,90.0,top
C58,186.0,-118.905,90.0,top
C59,166.45,-118.905,90.0,top
C60,167.45,-118.905,90.0,top
C61,159.747387,-68.846,270.0,top
C64,269.825,-92.225,0.0,top
C65,256.588999,-79.35,180.0,top
C66,279.22,-165.375,180.0,top
C67,269.825,-90.725,0.0,top
C68,256.588999,-80.85,180.0,top
C69,279.25,-180.225,180.0,top
C70,272.325,-87.75,90.0,top
C71,254.088999,-83.905,270.0,top
C74,271.075,-84.85,0.0,top
C75,255.288999,-86.8,180.0,top
C76,271.075,-83.35,0.0,top
C77,255.288999,-88.275,180.0,top
C78,271.07,-82.1,180.0,top
C79,255.333999,-89.525,0.0,top
C80,271.075,-80.85,0.0,top
C81,255.313999,-90.775,180.0,top
C82,271.075,-79.35,0.0,top
C83,255.313999,-92.25,180.0,top
C84,279.45,-101.7,270.0,top
C86,252.71,-186.135,0.0,top
C87,267.265,-186.01,0.0,top
C88,227.74,-179.66,180.0,top
C89,209.64,-179.66,180.0,top
